,dia,variable,value
7180,2014-05-04,ne,8383
7181,2014-05-05,ne,9436
7182,2014-05-06,ne,9674
7183,2014-05-07,ne,9868
7184,2014-05-08,ne,9810
7185,2014-05-09,ne,10034
7186,2014-05-10,ne,9735
7187,2014-05-11,ne,8653
7188,2014-05-12,ne,9441
7189,2014-05-13,ne,9670
7190,2014-05-14,ne,9659
7191,2014-05-15,ne,9715
7192,2014-05-16,ne,9897
7193,2014-05-17,ne,9466
7194,2014-05-18,ne,8650
7195,2014-05-19,ne,9771
7196,2014-05-20,ne,9999
7197,2014-05-21,ne,10015
7198,2014-05-22,ne,9974
7199,2014-05-23,ne,9900
7200,2014-05-24,ne,9514
7201,2014-05-25,ne,8789
7202,2014-05-26,ne,9781
7203,2014-05-27,ne,9865
7204,2014-05-28,ne,10002
7205,2014-05-29,ne,9895
7206,2014-05-30,ne,9674
7207,2014-05-31,ne,9073
7208,2014-06-01,ne,8309
7209,2014-06-02,ne,9454
7210,2014-06-03,ne,9848
7211,2014-06-04,ne,9821
7212,2014-06-05,ne,9885
7213,2014-06-06,ne,9900
7214,2014-06-07,ne,9261
7215,2014-06-08,ne,8475
7216,2014-06-09,ne,9516
7217,2014-06-10,ne,9719
7218,2014-06-11,ne,9587
7219,2014-06-12,ne,9185
7220,2014-06-13,ne,9569
7221,2014-06-14,ne,9079
7222,2014-06-15,ne,8347
7223,2014-06-16,ne,9207
7224,2014-06-17,ne,8969
7225,2014-06-18,ne,9510
7226,2014-06-19,ne,9044
7227,2014-06-20,ne,9210
7228,2014-06-21,ne,8846
7229,2014-06-22,ne,8072
7230,2014-06-23,ne,8418
7231,2014-06-24,ne,8346
7232,2014-06-25,ne,9256
7233,2014-06-26,ne,9423
7234,2014-06-27,ne,9431
7235,2014-06-28,ne,8809
7236,2014-06-29,ne,8385
7237,2014-06-30,ne,9373
7238,2014-07-01,ne,9637
7239,2014-07-02,ne,9370
7240,2014-07-03,ne,9599
7241,2014-07-04,ne,9085
7242,2014-07-05,ne,8994
7243,2014-07-06,ne,8247
7244,2014-07-07,ne,9278
7245,2014-07-08,ne,9025
7246,2014-07-09,ne,9402
7247,2014-07-10,ne,9478
7248,2014-07-11,ne,9613
7249,2014-07-12,ne,9146
7250,2014-07-13,ne,8289
7251,2014-07-14,ne,9272
7252,2014-07-15,ne,9492
7253,2014-07-16,ne,9494
7254,2014-07-17,ne,9506
7255,2014-07-18,ne,9527
7256,2014-07-19,ne,9067
7257,2014-07-20,ne,8252
7258,2014-07-21,ne,9306
7259,2014-07-22,ne,9434
7260,2014-07-23,ne,9425
7261,2014-07-24,ne,9462
7262,2014-07-25,ne,9498
7263,2014-07-26,ne,8920
7264,2014-07-27,ne,8331
7265,2014-07-28,ne,9228
7266,2014-07-29,ne,9401
7267,2014-07-30,ne,9327
7268,2014-07-31,ne,9324
7269,2014-08-01,ne,9397
7270,2014-08-02,ne,9047
7271,2014-08-03,ne,8390
7272,2014-08-04,ne,9460
7273,2014-08-05,ne,9665
7274,2014-08-06,ne,9445
7275,2014-08-07,ne,9362
7276,2014-08-08,ne,9396
7277,2014-08-09,ne,8941
7278,2014-08-10,ne,8032
7279,2014-08-11,ne,9040
7280,2014-08-12,ne,9482
7281,2014-08-13,ne,9622
7282,2014-08-14,ne,9561
7283,2014-08-15,ne,9473
7284,2014-08-16,ne,8986
7285,2014-08-17,ne,8247
7286,2014-08-18,ne,9288
7287,2014-08-19,ne,9493
7288,2014-08-20,ne,9583
7289,2014-08-21,ne,9616
7290,2014-08-22,ne,9616
7291,2014-08-23,ne,9075
7292,2014-08-24,ne,8377
7293,2014-08-25,ne,9411
7294,2014-08-26,ne,9629
7295,2014-08-27,ne,9716
7296,2014-08-28,ne,9752
7297,2014-08-29,ne,9707
7298,2014-08-30,ne,9153
7299,2014-08-31,ne,8353
7300,2014-09-01,ne,9492
7301,2014-09-02,ne,9921
7302,2014-09-03,ne,10226
7303,2014-09-04,ne,10340
7304,2014-09-05,ne,9997
7305,2014-09-06,ne,9127
7306,2014-09-07,ne,8284
7307,2014-09-08,ne,9256
7308,2014-09-09,ne,9567
7309,2014-09-10,ne,9687
7310,2014-09-11,ne,9764
7311,2014-09-12,ne,9705
7312,2014-09-13,ne,9188
7313,2014-09-14,ne,8350
7314,2014-09-15,ne,9374
7315,2014-09-16,ne,9801
7316,2014-09-17,ne,9913
7317,2014-09-18,ne,9910
7318,2014-09-19,ne,9822
7319,2014-09-20,ne,9410
7320,2014-09-21,ne,8849
7321,2014-09-22,ne,9931
7322,2014-09-23,ne,9879
7323,2014-09-24,ne,9893
7324,2014-09-25,ne,9925
7325,2014-09-26,ne,9928
7326,2014-09-27,ne,9459
7327,2014-09-28,ne,8707
7328,2014-09-29,ne,9912
7329,2014-09-30,ne,10105
7330,2014-10-01,ne,10171
7331,2014-10-02,ne,10214
7332,2014-10-03,ne,9892
7333,2014-10-04,ne,9135
7334,2014-10-05,ne,8114
7335,2014-10-06,ne,9260
7336,2014-10-07,ne,9699
7337,2014-10-08,ne,9735
7338,2014-10-09,ne,9734
7339,2014-10-10,ne,9852
7340,2014-10-11,ne,9478
7341,2014-10-12,ne,8577
7342,2014-10-13,ne,9605
7343,2014-10-14,ne,10147
7344,2014-10-15,ne,10208
7345,2014-10-16,ne,10261
7346,2014-10-17,ne,10309
7347,2014-10-18,ne,9703
7348,2014-10-19,ne,8936
7349,2014-10-20,ne,9871
7350,2014-10-21,ne,10209
7351,2014-10-22,ne,9831
7352,2014-10-23,ne,9983
7353,2014-10-24,ne,10027
7354,2014-10-25,ne,9491
7355,2014-10-26,ne,8639
7356,2014-10-27,ne,9805
7357,2014-10-28,ne,10213
7358,2014-10-29,ne,10150
7359,2014-10-30,ne,9976
7360,2014-10-31,ne,9932
7361,2014-11-01,ne,9310
7362,2014-11-02,ne,8622
7363,2014-11-03,ne,9830
7364,2014-11-04,ne,10081
7365,2014-11-05,ne,10110
7366,2014-11-06,ne,10159
7367,2014-11-07,ne,10147
7368,2014-11-08,ne,9795
7369,2014-11-09,ne,9014
7370,2014-11-10,ne,10119
7371,2014-11-11,ne,10310
7372,2014-11-12,ne,10478
7373,2014-11-13,ne,10384
7374,2014-11-14,ne,10381
7375,2014-11-15,ne,9396
7376,2014-11-16,ne,8980
7377,2014-11-17,ne,9916
7378,2014-11-18,ne,9865
7379,2014-11-19,ne,9799
7380,2014-11-20,ne,9834
7381,2014-11-21,ne,9905
7382,2014-11-22,ne,9514
7383,2014-11-23,ne,8821
7384,2014-11-24,ne,10034
7385,2014-11-25,ne,10234
7386,2014-11-26,ne,10275
7387,2014-11-27,ne,10262
7388,2014-11-28,ne,10408
7389,2014-11-29,ne,9815
7390,2014-11-30,ne,8998
7391,2014-12-01,ne,10121
7392,2014-12-02,ne,10295
7393,2014-12-03,ne,10299
7394,2014-12-04,ne,10365
7395,2014-12-05,ne,10511
7396,2014-12-06,ne,9755
7397,2014-12-07,ne,8913
