,dia,variable,value
553,2014-07-08,seco,34669
554,2014-07-09,seco,33691
555,2014-07-10,seco,36089
556,2014-07-11,seco,35648
557,2014-07-12,seco,32031
558,2014-07-13,seco,28430
559,2014-07-14,seco,34150
560,2014-07-15,seco,35466
561,2014-07-16,seco,35770
562,2014-07-17,seco,35942
563,2014-07-18,seco,36046
564,2014-07-19,seco,32190
565,2014-07-20,seco,28390
566,2014-07-21,seco,34192
567,2014-07-22,seco,35616
568,2014-07-23,seco,35710
569,2014-07-24,seco,36258
570,2014-07-25,seco,35876
571,2014-07-26,seco,32530
572,2014-07-27,seco,28837
573,2014-07-28,seco,34030
574,2014-07-29,seco,34897
575,2014-07-30,seco,34909
576,2014-07-31,seco,35014
577,2014-08-01,seco,35266
578,2014-08-02,seco,32570
579,2014-08-03,seco,29285
580,2014-08-04,seco,35772
581,2014-08-05,seco,36133
582,2014-08-06,seco,35632
583,2014-08-07,seco,35845
584,2014-08-08,seco,35841
585,2014-08-09,seco,32646
586,2014-08-10,seco,28941
587,2014-08-11,seco,35279
588,2014-08-12,seco,36873
589,2014-08-13,seco,36971
590,2014-08-14,seco,35587
591,2014-08-15,seco,35026
592,2014-08-16,seco,32532
593,2014-08-17,seco,29037
594,2014-08-18,seco,35051
595,2014-08-19,seco,36118
596,2014-08-20,seco,36327
597,2014-08-21,seco,36699
598,2014-08-22,seco,37129
599,2014-08-23,seco,33972
600,2014-08-24,seco,30295
601,2014-08-25,seco,36926
602,2014-08-26,seco,37919
603,2014-08-27,seco,36614
604,2014-08-28,seco,36046
605,2014-08-29,seco,35878
606,2014-08-30,seco,32815
607,2014-08-31,seco,29664
608,2014-09-01,seco,36274
609,2014-09-02,seco,37593
610,2014-09-03,seco,37621
611,2014-09-04,seco,36899
612,2014-09-05,seco,35957
613,2014-09-06,seco,32671
614,2014-09-07,seco,28976
615,2014-09-08,seco,35329
616,2014-09-09,seco,37169
617,2014-09-10,seco,37923
618,2014-09-11,seco,38631
619,2014-09-12,seco,38217
620,2014-09-13,seco,34019
621,2014-09-14,seco,30608
622,2014-09-15,seco,37417
623,2014-09-16,seco,38376
624,2014-09-17,seco,38019
625,2014-09-18,seco,38201
626,2014-09-19,seco,38480
627,2014-09-20,seco,35304
628,2014-09-21,seco,31256
629,2014-09-22,seco,35607
630,2014-09-23,seco,36581
631,2014-09-24,seco,37621
632,2014-09-25,seco,37905
633,2014-09-26,seco,38251
634,2014-09-27,seco,34607
635,2014-09-28,seco,31043
636,2014-09-29,seco,38126
637,2014-09-30,seco,39298
638,2014-10-01,seco,39523
639,2014-10-02,seco,37864
640,2014-10-03,seco,36301
641,2014-10-04,seco,32458
642,2014-10-05,seco,28361
643,2014-10-06,seco,34857
644,2014-10-07,seco,36299
645,2014-10-08,seco,37438
646,2014-10-09,seco,38388
647,2014-10-10,seco,39378
648,2014-10-11,seco,36236
649,2014-10-12,seco,31951
650,2014-10-13,seco,39877
651,2014-10-14,seco,41262
652,2014-10-15,seco,41048
653,2014-10-16,seco,41259
654,2014-10-17,seco,41709
655,2014-10-18,seco,37213
656,2014-10-19,seco,33403
657,2014-10-20,seco,38617
658,2014-10-21,seco,37961
659,2014-10-22,seco,37545
660,2014-10-23,seco,37690
661,2014-10-24,seco,38490
662,2014-10-25,seco,34584
663,2014-10-26,seco,30482
664,2014-10-27,seco,36041
665,2014-10-28,seco,36704
666,2014-10-29,seco,37329
667,2014-10-30,seco,39061
668,2014-10-31,seco,39624
669,2014-11-01,seco,35561
670,2014-11-02,seco,31763
671,2014-11-03,seco,38484
672,2014-11-04,seco,40000
673,2014-11-05,seco,40105
674,2014-11-06,seco,39618
675,2014-11-07,seco,39636
676,2014-11-08,seco,35941
677,2014-11-09,seco,31707
678,2014-11-10,seco,37245
679,2014-11-11,seco,38102
680,2014-11-12,seco,38640
681,2014-11-13,seco,39043
682,2014-11-14,seco,36811
683,2014-11-15,seco,30308
684,2014-11-16,seco,28278
685,2014-11-17,seco,35028
686,2014-11-18,seco,36583
687,2014-11-19,seco,37485
688,2014-11-20,seco,35802
689,2014-11-21,seco,38163
690,2014-11-22,seco,35732
691,2014-11-23,seco,31889
692,2014-11-24,seco,37773
693,2014-11-25,seco,38950
694,2014-11-26,seco,39399
695,2014-11-27,seco,38883
696,2014-11-28,seco,37643
697,2014-11-29,seco,33586
698,2014-11-30,seco,30326
699,2014-12-01,seco,37336
700,2014-12-02,seco,38676
701,2014-12-03,seco,39414
702,2014-12-04,seco,39572
703,2014-12-05,seco,37394
704,2014-12-06,seco,33267
705,2014-12-07,seco,30460
706,2014-12-08,seco,37210
707,2014-12-09,seco,39098
708,2014-12-10,seco,39183
709,2014-12-11,seco,39549
710,2014-12-12,seco,39575
711,2014-12-13,seco,35502
712,2014-12-14,seco,31556
713,2014-12-15,seco,36030
714,2014-12-16,seco,36809
715,2014-12-17,seco,37529
716,2014-12-18,seco,38704
717,2014-12-19,seco,38565
718,2014-12-20,seco,35382
719,2014-12-21,seco,33030
720,2014-12-22,seco,37950
721,2014-12-23,seco,36816
722,2014-12-24,seco,32357
723,2014-12-25,seco,28558
724,2014-12-26,seco,34275
725,2014-12-27,seco,34336
726,2014-12-28,seco,33144
727,2014-12-29,seco,37937
728,2014-12-30,seco,37850
729,2014-12-31,seco,34400
730,2015-01-01,seco,30875
731,2015-01-02,seco,36273
732,2015-01-03,seco,35592
733,2015-01-04,seco,33038
734,2015-01-05,seco,38842
735,2015-01-06,seco,39958
736,2015-01-07,seco,41164
737,2015-01-08,seco,41839
738,2015-01-09,seco,42685
739,2015-01-10,seco,39838
740,2015-01-11,seco,36552
741,2015-01-12,seco,43521
742,2015-01-13,seco,44529
743,2015-01-14,seco,44458
744,2015-01-15,seco,44732
745,2015-01-16,seco,44591
746,2015-01-17,seco,40809
747,2015-01-18,seco,37591
748,2015-01-19,seco,44655
749,2015-01-20,seco,44984
750,2015-01-21,seco,45133
751,2015-01-22,seco,43449
752,2015-01-23,seco,41888
753,2015-01-24,seco,37678
754,2015-01-25,seco,33896
755,2015-01-26,seco,41070
756,2015-01-27,seco,42165
757,2015-01-28,seco,42223
758,2015-01-29,seco,42498
759,2015-01-30,seco,42939
760,2015-01-31,seco,38460
761,2015-02-01,seco,34592
