,dia,variable,value
10639,2014-08-25,n,5355
10640,2014-08-26,n,5472
10641,2014-08-27,n,5366
10642,2014-08-28,n,5386
10643,2014-08-29,n,5428
10644,2014-08-30,n,5104
10645,2014-08-31,n,4722
10646,2014-09-01,n,5234
10647,2014-09-02,n,5343
10648,2014-09-03,n,5447
10649,2014-09-04,n,5587
10650,2014-09-05,n,5438
10651,2014-09-06,n,5028
10652,2014-09-07,n,4777
10653,2014-09-08,n,5203
10654,2014-09-09,n,5441
10655,2014-09-10,n,5481
10656,2014-09-11,n,5508
10657,2014-09-12,n,5400
10658,2014-09-13,n,5089
10659,2014-09-14,n,4886
10660,2014-09-15,n,5493
10661,2014-09-16,n,5583
10662,2014-09-17,n,5474
10663,2014-09-18,n,5362
10664,2014-09-19,n,5328
10665,2014-09-20,n,5131
10666,2014-09-21,n,4781
10667,2014-09-22,n,5434
10668,2014-09-23,n,5467
10669,2014-09-24,n,5391
10670,2014-09-25,n,5362
10671,2014-09-26,n,5373
10672,2014-09-27,n,5105
10673,2014-09-28,n,4850
10674,2014-09-29,n,5398
10675,2014-09-30,n,5437
10676,2014-10-01,n,5350
10677,2014-10-02,n,5251
10678,2014-10-03,n,5110
10679,2014-10-04,n,4787
10680,2014-10-05,n,4565
10681,2014-10-06,n,5184
10682,2014-10-07,n,5231
10683,2014-10-08,n,5289
10684,2014-10-09,n,5320
10685,2014-10-10,n,5261
10686,2014-10-11,n,5084
10687,2014-10-12,n,4631
10688,2014-10-13,n,5037
10689,2014-10-14,n,5241
10690,2014-10-15,n,5205
10691,2014-10-16,n,5161
10692,2014-10-17,n,5138
10693,2014-10-18,n,4910
10694,2014-10-19,n,4620
10695,2014-10-20,n,5165
10696,2014-10-21,n,5379
10697,2014-10-22,n,5177
10698,2014-10-23,n,5170
10699,2014-10-24,n,5033
10700,2014-10-25,n,5033
10701,2014-10-26,n,4656
10702,2014-10-27,n,5167
10703,2014-10-28,n,5329
10704,2014-10-29,n,5419
10705,2014-10-30,n,5477
10706,2014-10-31,n,5366
10707,2014-11-01,n,5112
10708,2014-11-02,n,4897
10709,2014-11-03,n,5276
10710,2014-11-04,n,5354
10711,2014-11-05,n,5321
10712,2014-11-06,n,5346
10713,2014-11-07,n,5374
10714,2014-11-08,n,5192
10715,2014-11-09,n,4755
10716,2014-11-10,n,5213
10717,2014-11-11,n,5470
10718,2014-11-12,n,5480
10719,2014-11-13,n,5204
10720,2014-11-14,n,5261
10721,2014-11-15,n,4890
10722,2014-11-16,n,4693
10723,2014-11-17,n,5239
10724,2014-11-18,n,5218
10725,2014-11-19,n,5119
10726,2014-11-20,n,4941
10727,2014-11-21,n,4961
10728,2014-11-22,n,4910
10729,2014-11-23,n,4712
